asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
cooking appliance - induction,CKIU,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - induction range,CKIRCK,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - induction wok,CKIW,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - kettle,CKKET,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
cooking appliance - mobile cook station,KMCS,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - pasta cooker,CKPC,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - potato oven,CKPOVN,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - pressure bratt pan,CKPBP,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
cooking appliance - pressure steamer,CKPSTE,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
cooking appliance - rice cooker,CKRC,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - rotisserie,CKROT,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
cooking appliance - salamander grill,CKSGRL,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
cooking appliance - steamer,CKSTE,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
cooking appliance - tandoori oven,CKTOVN,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
damper,DMP,1,HVAC/DMP,IfcDamper,IfcDamper,1,IfcDamper,,IfcDamper,
damper - bypass control damper,BYCD,1,HVAC/DMP,IfcDamperCONTROLDAMPER,IfcDamperCONTROLDAMPER,0,IfcDamper,CONTROLDAMPER,IfcDamper,CONTROLDAMPER
damper - exhaust damper,EXD,1,HVAC/DMP,IfcDamper,IfcDamper,0,IfcDamper,,IfcDamper,
damper - fire damper,FD,1,SAFETY/FD,IfcDamperFIREDAMPER,IfcDamperFIREDAMPER,0,IfcDamper,FIREDAMPER,IfcDamper,FIREDAMPER
damper - inlet control damper,ICD,1,HVAC/DMP,IfcDamperCONTROLDAMPER,IfcDamperCONTROLDAMPER,0,IfcDamper,CONTROLDAMPER,IfcDamper,CONTROLDAMPER
damper - inlet isolation damper,IISD,1,HVAC/DMP,IfcDamper,IfcDamper,0,IfcDamper,,IfcDamper,
damper - motorised damper,MD,1,HVAC/DMP,IfcDamper,IfcDamper,0,IfcDamper,,IfcDamper,
damper - motorised fire smoke damper,MFSD,1,HVAC/DMP,IfcDamperFIRESMOKEDAMPER,IfcDamperFIRESMOKEDAMPER,0,IfcDamper,FIRESMOKEDAMPER,IfcDamper,FIRESMOKEDAMPER
damper - motorised smoke control damper,MSCD,1,HVAC/DMP,IfcDamperSMOKEDAMPER,IfcDamperSMOKEDAMPER,0,IfcDamper,SMOKEDAMPER,IfcDamper,SMOKEDAMPER
damper - motorised smoke damper,MSD,1,HVAC/DMP,IfcDamperSMOKEDAMPER,IfcDamperSMOKEDAMPER,0,IfcDamper,SMOKEDAMPER,IfcDamper,SMOKEDAMPER
damper - pressure relief dampers,PRLD,1,HVAC/DMP,IfcDamperRELIEFDAMPER,IfcDamperRELIEFDAMPER,0,IfcDamper,RELIEFDAMPER,IfcDamper,RELIEFDAMPER
damper - recirculation control damper,RECD,1,HVAC/DMP,IfcDamperCONTROLDAMPER,IfcDamperCONTROLDAMPER,0,IfcDamper,CONTROLDAMPER,IfcDamper,CONTROLDAMPER
damper - return control damper,RTCD,1,HVAC/DMP,IfcDamperCONTROLDAMPER,IfcDamperCONTROLDAMPER,0,IfcDamper,CONTROLDAMPER,IfcDamper,CONTROLDAMPER
damper - return isolation damper,RTISD,1,HVAC/DMP,IfcDamperCONTROLDAMPER,IfcDamperCONTROLDAMPER,0,IfcDamper,CONTROLDAMPER,IfcDamper,CONTROLDAMPER
damper - volume control damper,VCD,1,HVAC/DMP,IfcDamperBALANCINGDAMPER,IfcDamperBALANCINGDAMPER,0,IfcDamper,BALANCINGDAMPER,IfcDamper,BALANCINGDAMPER
data processing unit / computer,DPU,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
dehumidifier,DHUM,1,,IfcUnitaryEquipmentDEHUMIDIFIER,IfcElectricDistributionPoint,0,IfcElectricDistributionPoint,,IfcUnitaryEquipment,DEHUMIDIFIER
dispenser,DISP,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - broth,DISPB,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - cereal,DISPC,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - ice/beverage,DISPIB,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - juice,DISPJ,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - milk,DISPMK,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - soft serve ice cream,DISPIC,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
dispenser - water,DISPW,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
distibution chamber - inspection chamber,IC,0,,IfcDistributionChamberElementINSPECTIONCHAMBER,IfcDistributionChamberElementINSPECTIONCHAMBER,1,IfcDistributionChamberElement,INSPECTIONCHAMBER,IfcDistributionChamberElement,INSPECTIONCHAMBER
distibution chamber - man hole,MH,0,,IfcDistributionChamberElementMANHOLE,IfcDistributionChamberElementMANHOLE,1,IfcDistributionChamberElement,MANHOLE,IfcDistributionChamberElement,MANHOLE
distibution chamber - meter chamber,MTRC,0,,IfcDistributionChamberElementMETERCHAMBER,IfcDistributionChamberElementMETERCHAMBER,1,IfcDistributionChamberElement,METERCHAMBER,IfcDistributionChamberElement,METERCHAMBER
distibution chamber - sump,SUMP,0,,IfcDistributionChamberElementSUMP,IfcDistributionChamberElementSUMP,1,IfcDistributionChamberElement,SUMP,IfcDistributionChamberElement,SUMP
distibution chamber - trench,TRENCH,0,,IfcDistributionChamberElementTRENCH,IfcDistributionChamberElementTRENCH,1,IfcDistributionChamberElement,TRENCH,IfcDistributionChamberElement,TRENCH
distibution chamber - valve chamber,VLVC,0,,IfcDistributionChamberElementVALVECHAMBER,IfcDistributionChamberElementVALVECHAMBER,1,IfcDistributionChamberElement,VALVECHAMBER,IfcDistributionChamberElement,VALVECHAMBER
distribution - chamber,DCE,0,,IfcDistributionChamberElement,IfcDistributionChamberElement,1,IfcDistributionChamberElement,,IfcDistributionChamberElement,
distribution - circuit,DCT,0,,IfcDistributionCircuit,,1,,,IfcDistributionCircuit,
