asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
electric appliance - hand dryer,HDY,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
electric appliance - oven,OVN,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
electric appliance - scanning device,SCAN,0,,IfcCommunicationsApplianceSCANNER,IfcElectricApplianceSCANNER,0,IfcElectricAppliance,SCANNER,IfcCommunicationsAppliance,SCANNER
electric appliance - steamer,STE,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
electric flow treatment device,EFT,1,,IfcElectricFlowTreatmentDevice,,1,,,IfcElectricFlowTreatmentDevice,
electric protective device - circuit breaker,CB,1,,IfcProtectiveDeviceCIRCUITBREAKER,IfcProtectiveDeviceCIRCUITBREAKER,0,IfcProtectiveDevice,CIRCUITBREAKER,IfcProtectiveDevice,CIRCUITBREAKER
electric protective device - disconnect fuse,DSCTF,0,,IfcProtectiveDeviceFUSEDISCONNECTOR,IfcProtectiveDeviceFUSEDISCONNECTOR,0,IfcProtectiveDevice,FUSEDISCONNECTOR,IfcProtectiveDevice,FUSEDISCONNECTOR
electric protective device - electrical isolator (disconnector),EISO,0,,IfcSwitchingDeviceSWITCHDISCONNECTOR,IfcSwitchingDeviceSWITCHDISCONNECTOR,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,IfcSwitchingDevice,SWITCHDISCONNECTOR
electric protective device - high temperature cut out switch,HTCO,0,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
electric protective device - isolation transformer,EISOTX,0,,IfcProtectiveDevice,IfcProtectiveDevice,0,IfcProtectiveDevice,,IfcProtectiveDevice,
electric protective device - miniature circuit breaker,MCB,1,,IfcProtectiveDeviceCIRCUITBREAKER,IfcProtectiveDeviceCIRCUITBREAKER,0,IfcProtectiveDevice,CIRCUITBREAKER,IfcProtectiveDevice,CIRCUITBREAKER
electric protective device - residual current circuit breaker,RCCB,1,,IfcProtectiveDeviceRESIDUALCURRENTCIRCUITBREAKER,IfcProtectiveDeviceRESIDUALCURRENTCIRCUITBREAKER,0,IfcProtectiveDevice,RESIDUALCURRENTCIRCUITBREAKER,IfcProtectiveDevice,RESIDUALCURRENTCIRCUITBREAKER
electric protective device - residual current circuit breaker with over-current,RCBO,1,,IfcProtectiveDeviceRESIDUALCURRENTCIRCUITBREAKER,IfcProtectiveDeviceRESIDUALCURRENTCIRCUITBREAKER,0,IfcProtectiveDevice,RESIDUALCURRENTCIRCUITBREAKER,IfcProtectiveDevice,RESIDUALCURRENTCIRCUITBREAKER
electric protective device - safety switch or disconnect switch,DSCTS,0,,IfcSwitchingDeviceSWITCHDISCONNECTOR,IfcSwitchingDeviceSWITCHDISCONNECTOR,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,IfcSwitchingDevice,SWITCHDISCONNECTOR
electric protective device - safety switch or disconnect switch - emergency stop button,ESB,0,,IfcSwitchingDeviceSWITCHDISCONNECTOR,IfcSwitchingDeviceSWITCHDISCONNECTOR,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,IfcSwitchingDevice,SWITCHDISCONNECTOR
electric protective device - sectionalizer switch,SCS,0,,IfcSwitchingDeviceSELECTORSWITCH,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,SELECTORSWITCH
electric protective device - surge protection,SPD,0,,IfcProtectiveDeviceVARISTOR,IfcProtectiveDeviceVARISTOR,0,IfcProtectiveDevice,VARISTOR,IfcProtectiveDevice,VARISTOR
electric time control,ETC,1,,IfcElectricTimeControl,IfcElectricTimeControl,1,IfcElectricTimeControl,,IfcElectricTimeControl,
electrical equipment - engine,ENG,1,,IfcEngine,,1,,,IfcEngine,
electrical equipment - motor,EMT,1,,IfcElectricMotor,,1,,,IfcElectricMotor,
electrical protective device,PDV,1,,IfcProtectiveDevice,IfcProtectiveDevice,1,IfcProtectiveDevice,,IfcProtectiveDevice,
electrical tripping unit,PTU,1,,IfcProtectiveDeviceTrippingUnit,,1,,,IfcProtectiveDeviceTrippingUnit,
electrochromic glass,ECG,0,,IfcWindow,IfcWindowStyle,0,IfcWindowStyle,,IfcWindow,
electronic key cabinet,EKC,1,,IfcFurniture,IfcFurniture,0,IfcFurniture,,IfcFurniture,
element assembly,ASM,0,,IfcElementAssembly,IfcElementAssembly,1,IfcElementAssembly,,IfcElementAssembly,
emergency assistance - disabled wc control panel,DWCCP,1,,IfcControllerPROGRAMMABLE,IfcController,0,IfcController,,IfcController,PROGRAMMABLE
emergency assistance - disabled wc overdoor indicator,DWCOI,1,,IfcAlarmLIGHT,IfcAlarmLIGHT,0,IfcAlarm,LIGHT,IfcAlarm,LIGHT
emergency assistance - disabled wc pull cord,DWCPC,1,,IfcAlarmMANUALPULLBOX,IfcAlarmMANUALPULLBOX,0,IfcAlarm,MANUALPULLBOX,IfcAlarm,MANUALPULLBOX
emergency assistance - disabled wc reset button,DWCRB,1,,IfcControllerTWOPOSITION,IfcControllerTWOPOSITION,0,IfcController,TWOPOSITION,IfcController,TWOPOSITION
emergency assistance - panic duress button,PDB,1,,IfcAlarm,IfcAlarm,0,IfcAlarm,,IfcAlarm,
emergency voice communication - control panel,EVCCP,1,,IfcAudioVisualApplianceCOMMUNICATIONTERMINAL,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,COMMUNICATIONTERMINAL
emergency voice communication - outstation,EVCO,1,,IfcAudioVisualApplianceRECEIVER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,RECEIVER
emergency voice communication - outstation disabled refuge,DRO,1,,IfcAudioVisualApplianceRECEIVER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,RECEIVER
emergency voice communication - outstation emergency telephone,ETO,1,,IfcAudioVisualApplianceRECEIVER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,RECEIVER
emergency voice communication - outstation fire telephone,FTO,1,,IfcAudioVisualApplianceRECEIVER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,RECEIVER
emergency voice communication - repeater unit,EVCRU,1,,IfcAudioVisualApplianceSWITCHER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,SWITCHER
emergency voice communication - voice alarm microphones,VAM,1,,IfcAudioVisualApplianceMICROPHONE,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,MICROPHONE
emergency voice communication - voice alarm speaker,VAS,1,,IfcAudioVisualApplianceSPEAKER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcAudioVisualAppliance,SPEAKER
employee timeclock with fingerprint scanner,ETCFP,1,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
evaporative cooler ,EVCL,1,,IfcEvaporativeCooler,IfcEvaporativeCooler,1,IfcEvaporativeCooler,,IfcEvaporativeCooler,
evaporator,EVP,1,,IfcEvaporator,IfcEvaporator,1,IfcEvaporator,,IfcEvaporator,
fan,FAN,1,HVAC/FAN,IfcFan,IfcFan,1,IfcFan,,IfcFan,
fan - cooling tower fan,CTF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - elevator / lift well pressurization fan,ELVPF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - exhaust fan,EF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - fume hood exhaust fan,FHEX,1,HVAC/FAN,IfcDamperFUMEHOODEXHAUST,IfcDamperFUMEHOODEXHAUST,0,IfcDamper,FUMEHOODEXHAUST,IfcDamper,FUMEHOODEXHAUST
fan - garage / car park supply fan,GSF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - garage / car park transfer fan,GTF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - kitchen exhaust fan,KEF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - mechanical extract ventilation,MEV,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - mechanical extract ventilation kitchen,MEVK,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - pressurization fan,PF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - relief fan,RLF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - return fan,RTF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - smoke exhaust fan,SEF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - stairwell pressurization fan,SPF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - supply fan,SF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - toilet extract fan,TEF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan - transfer fan,TF,1,HVAC/FAN,IfcFan,IfcFan,0,IfcFan,,IfcFan,
fan coil unit,FCU,1,HVAC/FCU,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
filter,FLT,1,,IfcFilter,IfcFilter,1,IfcFilter,,IfcFilter,
filter - air and dirt separator,ADS,1,,IfcFlowTreatmentDevice,IfcFilter,0,IfcFilter,,IfcFlowTreatmentDevice,
filter - air purifier unit,APU,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - air separator,AS,1,,IfcFlowTreatmentDevice,IfcFilterAIRPARTICLEFILTER,0,IfcFilter,AIRPARTICLEFILTER,IfcFlowTreatmentDevice,
filter - air washer unit,AWSH,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - bag filter,BFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - carbon filter,CFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - cooling tower filtration unit/system,CTFU,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
filter - cooling tower sand filter,CTSFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - cooling tower separator,CTSEP,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - cooling tower separator / sand separator,CTSSEP,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - degasser filter,DGA,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - dirt separator,DTS,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - exhaust dry scrubber unit,DSU,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - panel filter,PFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - pollution control unit,PCU,1,,IfcFilterAIRPARTICLEFILTER,IfcFilterAIRPARTICLEFILTER,0,IfcFilter,AIRPARTICLEFILTER,IfcFilter,AIRPARTICLEFILTER
filter - process filtration unit,PFU,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
filter - reverse osmosis system,RO,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - side stream water filters,SSFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - vacuum system filter,VSFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - water - reverse rinsing filter,RRFLT,1,,IfcFilter,IfcFilter,0,IfcFilter,,IfcFilter,
filter - water conditioner,WCR,1,,IfcFilterWATERFILTER,IfcFilterWATERFILTER,0,IfcFilter,WATERFILTER,IfcFilter,WATERFILTER
filter - water softener,WSR,1,,IfcFilterWATERFILTER,IfcFilterWATERFILTER,0,IfcFilter,WATERFILTER,IfcFilter,WATERFILTER
fire detection - alarm annunciator sounder or beacon,FAS,1,,IfcAlarm,IfcAlarm,0,IfcAlarm,,IfcAlarm,
fire detection - aspirating smoke detector,ASD,1,SAFETY/SD,IfcSensorSMOKESENSOR,IfcSensorSMOKESENSOR,0,IfcSensor,SMOKESENSOR,IfcSensor,SMOKESENSOR
fire detection - break glass unit,BGU,1,SAFETY/BGU,IfcAlarmBREAKGLASSBUTTON,IfcAlarmBREAKGLASSBUTTON,0,IfcAlarm,BREAKGLASSBUTTON,IfcAlarm,BREAKGLASSBUTTON
fire detection - control and indication equipment,CIE,1,,IfcUnitaryControlElementINDICATORPANEL,IfcElectricDistributionPoint,0,IfcElectricDistributionPoint,,IfcUnitaryControlElement,INDICATORPANEL
fire detection - gas detector,GD,1,SENSOR,IfcSensorGASSENSOR,IfcSensorGASSENSOR,0,IfcSensor,GASSENSOR,IfcSensor,GASSENSOR
fire detection - heat detector,HD,1,SENSOR,IfcSensorHEATSENSOR,IfcSensorHEATSENSOR,0,IfcSensor,HEATSENSOR,IfcSensor,HEATSENSOR
fire detection - hydrogen detector,HDS,1,,IfcSensor,IfcSensor,0,IfcSensor,,IfcSensor,
fire detection - input output interface unit,IFU,1,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
fire detection - smoke detector,SD,1,SAFETY/SD,IfcSensorSMOKESENSOR,IfcSensorSMOKESENSOR,0,IfcSensor,SMOKESENSOR,IfcSensor,SMOKESENSOR
fire suppression - fire jockey pump,FJP,1,,IfcPump,IfcPump,0,IfcPump,,IfcPump,
fire suppression - fire pump,FP,1,,IfcPump,IfcPump,0,IfcPump,,IfcPump,
fire suppression - fire pump control panel,FPCP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
fire suppression - firemans override switch,FMO,0,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
fire suppression - gas suppression control panel,GSCP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
fire suppression - gas suppression head,GSH,0,,IfcFireSuppressionTerminal,IfcFireSuppressionTerminal,0,IfcFireSuppressionTerminal,,IfcFireSuppressionTerminal,
fire suppression - hose reel terminal,KHRL,0,,IfcFireSuppressionTerminalHOSEREEL,IfcFireSuppressionTerminalHOSEREEL,0,IfcFireSuppressionTerminal,HOSEREEL,IfcFireSuppressionTerminal,HOSEREEL
fire suppression - sprinkler alarm bell,FB,1,,IfcAlarmBELL,IfcAlarmBELL,0,IfcAlarm,BELL,IfcAlarm,BELL
fire suppression - sprinkler flow switch,FS,1,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
fire suppression - sprinkler head terminal,SPH,1,,IfcFireSuppressionTerminalSPRINKLER,IfcFireSuppressionTerminalSPRINKLER,0,IfcFireSuppressionTerminal,SPRINKLER,IfcFireSuppressionTerminal,SPRINKLER
fire suppression - sprinkler isolation valve,SISV,1,,IfcValveISOLATING,IfcValveISOLATING,0,IfcValve,ISOLATING,IfcValve,ISOLATING
fire suppression - system gas release panel,FSS,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
fire suppression - vaporizer panel,VZP,1,,IfcUnitaryControlElementCONTROLPANEL,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcUnitaryControlElement,CONTROLPANEL
fire suppression - window drencher pump,WDP,1,HVAC/PMP,IfcPump,IfcPump,0,IfcPump,,IfcPump,
fire suppression - window drencher tank,WDT,0,,IfcTankSTORAGE,IfcTank,0,IfcTank,,IfcTank,STORAGE
fire suppression terminal,FSP,1,,IfcFireSuppressionTerminal,IfcFireSuppressionTerminal,1,IfcFireSuppressionTerminal,,IfcFireSuppressionTerminal,
fire suppression terminal - fire hydrant,FH,0,,IfcFireSuppressionTerminalFIREHYDRANT,IfcFireSuppressionTerminalFIREHYDRANT,1,IfcFireSuppressionTerminal,FIREHYDRANT,IfcFireSuppressionTerminal,FIREHYDRANT
fire suppression terminal - hose reel,HR,0,,IfcFireSuppressionTerminalHOSEREEL,IfcFireSuppressionTerminalHOSEREEL,1,IfcFireSuppressionTerminal,HOSEREEL,IfcFireSuppressionTerminal,HOSEREEL
fire suppression terminal - inlet breaching valve,IBRV,0,,IfcFireSuppressionTerminalBREECHINGINLET,IfcFireSuppressionTerminalBREECHINGINLET,1,IfcFireSuppressionTerminal,BREECHINGINLET,IfcFireSuppressionTerminal,BREECHINGINLET
flow instrument / gauge,FIN,0,,IfcFlowInstrument,IfcFlowInstrument,1,IfcFlowInstrument,,IfcFlowInstrument,
food serving - cold plate,FSCPL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - cold well,FSCWL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - heat lamp,FSHL,0,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
food serving - hot and cold plate,FSHCPL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - hot and cold well,FSHCWL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - hot plate,FSHPL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - hot well,FSHWL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - ice cream display,FSICD,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - ice well,FSIWL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - induction warmer,FSIW,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
food serving - sneeze guard,FSSG,0,,IfcFurniture,IfcFurniture,0,IfcFurniture,,IfcFurniture,
food serving - soup well,FSSWL,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
furniture - chemical storage cabinet,CSC,0,,IfcFurniture,IfcFurniture,0,IfcFurniture,,IfcFurniture,
furniture - commercial kitchen mobile soak sink,KSINKM,0,,IfcSanitaryTerminalSINK,IfcSanitaryTerminalSINK,0,IfcSanitaryTerminal,SINK,IfcSanitaryTerminal,SINK
furniture - commercial kitchen sink,KSINK,0,,IfcSanitaryTerminalSINK,IfcSanitaryTerminalSINK,0,IfcSanitaryTerminal,SINK,IfcSanitaryTerminal,SINK
furniture - commercial kitchen storage cabinet,KSTC,0,,IfcFurniture,IfcFurniture,0,IfcFurniture,,IfcFurniture,
furniture - commercial kitchen storage cabinet heated,KSTCH,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
furniture - commercial kitchen table,KTBL,0,,IfcFurnitureSHELF,IfcFurniture,0,IfcFurniture,,IfcFurniture,SHELF
furniture - commercial kitchen trolley/cart,KCART,0,,IfcFurniture,IfcFurniture,0,IfcFurniture,,IfcFurniture,
furniture - commercial kitchen utility chase system,KUCS,0,,IfcDistributionSystem,,0,,,IfcDistributionSystem,
furniture - commercial kitchen utility distribution system,KUDS,0,,IfcDistributionSystem,,0,,,IfcDistributionSystem,
furniture - commercial kitchen wall mounted glass rack,KWMGR,0,,IfcFurnitureSHELF,IfcFurniture,0,IfcFurniture,,IfcFurniture,SHELF
furniture - desk,DESK,0,,IfcFurnitureDESK,IfcFurniture,0,IfcFurniture,,IfcFurniture,DESK
furniture - emergency eyewash station,EEW,0,,IfcSanitaryTerminalSANITARYFOUNTAIN,IfcSanitaryTerminalSANITARYFOUNTAIN,0,IfcSanitaryTerminal,SANITARYFOUNTAIN,IfcSanitaryTerminal,SANITARYFOUNTAIN
furniture - locker,LCKR,1,,IfcFurniture,IfcFurniture,0,IfcFurniture,,IfcFurniture,
generator - clean steam generator,CSG,1,,IfcElectricGenerator,IfcElectricGenerator,1,IfcElectricGenerator,,IfcElectricGenerator,
generator - combined heat and power generator,CHP,1,,IfcElectricGeneratorCHP,IfcElectricGenerator,0,IfcElectricGenerator,,IfcElectricGenerator,CHP
generator - diesel electricity generator,DG,1,,IfcElectricGeneratorENGINEGENERATOR,IfcElectricGenerator,0,IfcElectricGenerator,,IfcElectricGenerator,ENGINEGENERATOR
generator - electricity generator,GEN,1,,IfcElectricGeneratorENGINEGENERATOR,IfcElectricGenerator,0,IfcElectricGenerator,,IfcElectricGenerator,ENGINEGENERATOR
generic built object - built element,ELEM,0,,IfcBuiltElement,,1,,,IfcBuiltElement,
generic built object - element proxy,PROXY,0,,IfcBuildingElementProxy,IfcBuildingElementProxy,1,IfcBuildingElementProxy,,IfcBuildingElementProxy,
geographic element,GEO,0,,IfcGeographicElement,,1,,,IfcGeographicElement,
grease waste interceptor,GI,0,,IfcInterceptorGREASE,IfcWasteTerminalGREASEINTERCEPTOR,0,IfcWasteTerminal,GREASEINTERCEPTOR,IfcInterceptor,GREASE
grid,GRD,0,,IfcGrid,IfcGrid,1,IfcGrid,,IfcGrid,
group,GRP,0,,IfcGroup,IfcGroup,1,IfcGroup,,IfcGroup,
heat emitter - air heater,AHR,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - duct heater,DH,1,HVAC/DH,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - electric unit heater,EUH,1,HVAC/UH,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - gas unit heater,GUH,1,HVAC/UH,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - heater,HTR,1,,IfcSpaceHeater,IfcSpaceHeater,1,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - hydronic trench convector,TC,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - radiant panel,RP,1,HVAC/RP,IfcSpaceHeaterRADIATOR,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,RADIATOR
heat emitter - radiator,RAD,1,,IfcSpaceHeaterRADIATOR,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,RADIATOR
heat emitter - radiator electric,ERAD,1,,IfcSpaceHeaterRADIATOR,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,RADIATOR
heat emitter - trace heating,EHT,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - trench heater and cooler,TRHC,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - trench heating,TRH,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - underfloor manifold,UFM,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - unit heater,UH,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat emitter - warm air curtain,WAC,1,,IfcSpaceHeater,IfcSpaceHeater,0,IfcSpaceHeater,,IfcSpaceHeater,
heat exchanger,HX,1,HVAC/HX,IfcHeatExchanger,IfcHeatExchanger,1,IfcHeatExchanger,,IfcHeatExchanger,
heat exchanger - cooling plate heat exchanger,CPHX,1,HVAC/HX,IfcHeatExchangerPLATE,IfcHeatExchangerPLATE,0,IfcHeatExchanger,PLATE,IfcHeatExchanger,PLATE
heat exchanger - heating plate heat exchanger,HPHX,1,HVAC/HX,IfcHeatExchangerPLATE,IfcHeatExchangerPLATE,0,IfcHeatExchanger,PLATE,IfcHeatExchanger,PLATE
heat exchanger - plate heat exchanger,PHX,1,HVAC/HX,IfcHeatExchangerPLATE,IfcHeatExchangerPLATE,0,IfcHeatExchanger,PLATE,IfcHeatExchanger,PLATE
heat interface unit,HIU,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
heat pump - air source heat pump,ASHP,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
heat pump - ground source heat pump,GSHP,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
heat pump - heat pump,HP,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
heat pump - water source heat pump,WSHP,1,,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
high level interface,HLI,1,,IfcControllerPROGRAMMABLE,IfcController,0,IfcController,,IfcController,PROGRAMMABLE
horn strobe,HS,1,SAFETY/HS,IfcAlarmSIREN,IfcAlarmSIREN,0,IfcAlarm,SIREN,IfcAlarm,SIREN
human machine interface,HMI,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
humidifier,HUM,1,HVAC/HUM,IfcHumidifier,IfcHumidifier,1,IfcHumidifier,,IfcHumidifier,
ict equipment - ethernet switch,ETS,1,,IfcCommunicationsApplianceNETWORKBRIDGE,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,NETWORKBRIDGE
ict equipment - fibre switch,FBS,1,,IfcCommunicationsApplianceNETWORKBRIDGE,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,NETWORKBRIDGE
ict equipment - intermediate distribution frame,IDF,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - multi-purpose server,SRV,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - network access manager,NAM,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - network firewall,FW,1,,IfcCommunicationsApplianceNETWORKAPPLIANCE,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,NETWORKAPPLIANCE
ict equipment - network monitoring system,NMS,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - network router,RTR,1,,IfcCommunicationsApplianceROUTER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,ROUTER
ict equipment - pdu ip dongle,PDUIPD,1,,IfcCommunicationsAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,
ict equipment - personal computer,PC,1,,IfcCommunicationsApplianceCOMPUTER,IfcElectricAppliance,0,IfcElectricAppliance,,IfcCommunicationsAppliance,COMPUTER
